# M=20, N=10, max=1, PBC
# n U/t E0/t S1(n) S2(n) S3(n)
1 1.0 -10.068278600917907 0.07122240748104725 0.028658003081693195 0.021650493759871825
2 1.0 -10.068278600917907 0.12771867234285184 0.051072430813190905 0.03860767939895826
3 1.0 -10.068278600917907 0.16876290599680654 0.06715085568878454 0.05078456580937196
4 1.0 -10.068278600917907 0.19369786642669862 0.07682551702476825 0.058116967867566593
5 1.0 -10.068278600917907 0.20206540188357724 0.08005504166988686 0.06056552376697866
