# U=0.6,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -2.544292530665578 0.019190146646974715 0.005577950626053485 0.0041893185342624095
4 -4.572753511724159 0.02734874377282326 0.008836662195745415 0.0066422246645847505
6 -6.7261364107121775 0.030137450350026018 0.010016768662501452 0.007531515933467681
8 -8.907068731016292 0.03150364560628338 0.010619054191047361 0.00798558473433264
10 -11.098683591638434 0.032305783742422545 0.01098278523211249 0.0082598723242584
12 -13.295571487118409 0.03283042125096225 0.011225731809780815 0.008443105260241168
14 -15.495452626786129 0.033199021341706825 0.01139926944104408 0.008574003078304582

