# U=1.0,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -2.3722813232690143 0.0448218063607172 0.015267472130788495 0.011494759112349318
4 -4.173988710274757 0.06153031296349987 0.02343832746562735 0.017683385579307487
6 -6.11454488166079 0.06702141522242 0.02632182300496666 0.01987359610145134
8 -8.085526636357017 0.06967718407241419 0.02778175801418259 0.020983768486948495
10 -10.068278600917907 0.07122240748095265 0.02865800308171229 0.021650493759886036
12 -12.05683368090694 0.07222532591909347 0.029239988699417463 0.022093488825412066
14 -14.048680650173957 0.07292518328095499 0.029653542031973235 0.022408358708617904


