# U=1.8,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -2.068164415931166 0.11151102872807905 0.047060673087510496 0.035724227047485124
4 -3.4623291450650227 0.14867804729795409 0.07073147912268873 0.05403316207696296
6 -5.021092842252773 0.159600312493422 0.07845139128544831 0.06005634244236724
8 -6.61580209600285 0.16461849632989978 0.08219039397458472 0.06298298074774555
10 -8.22438996482186 0.16744081524374144 0.08436479441213818 0.06468780802231189
12 -9.839811670032743 0.16922544400828876 0.08577304399979901 0.06579306433549004
14 -11.459106375692583 0.17044420228678492 0.08675260329289092 0.06656238915102186

