# U=-0.9,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -3.3140006983239365 0.03774975800482916 0.012420615093332033 0.009344628842452907
4 -6.342703042588595 0.06487024909722305 0.02596195420304004 0.019600072140657288
6 -9.437714854856942 0.0730630081916892 0.03053234325647014 0.023077683693286888
8 -12.548294549235754 0.07686914317465954 0.032765667079566185 0.024780046814498302
10 -15.664996115105144 0.07902796503964371 0.03407674223617274 0.025780351417689307
12 -18.784736831623405 0.08040399959939526 0.03493414621694768 0.02643489415778344
14 -21.90620779747924 0.08135112011838697 0.035536310189043796 0.026894763368174868

