# U=0.6,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -3.525259526048341 0.02451327504919054 0.0077003285206820316 0.005786421591914559
5 -5.643836644389424 0.029026014362748764 0.009540187261469324 0.007172315045621547
7 -7.814680812687589 0.030921804021678545 0.01036018945481021 0.007790407124164123
9 -10.001993988414329 0.03195128310316431 0.010820979989106139 0.008137849614395343
11 -12.196650294437728 0.03259309418266998 0.011115282333388432 0.008359800264979622
13 -14.39522496390176 0.03302959766199809 0.011319186494712863 0.008513595822672304

