# U=1.4,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -2.2137604568666926 0.07638494454417732 0.029282044311694788 0.02212550588106954
4 -3.8039246728005 0.10273352224657217 0.04421147517525181 0.033536245640394924
6 -5.546273023094532 0.11091175633698103 0.04927027625307656 0.03742335081841541
8 -7.321869610157476 0.1147815492394062 0.05178491883433711 0.03935950476377936
10 -9.110307987523422 0.1170027311059858 0.05327573551808218 0.04050860549412327
12 -10.905071553000841 0.11842950396588225 0.05425629125518494 0.04126491059289661
14 -12.703420739642032 0.11941656271865897 0.05494728393842019 0.04179811687713597


