# U=1.0,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -3.2360679774997907 0.055874912591181936 0.020632178578758875 0.015555063873537112
5 -5.138065561032876 0.06484477116405651 0.02516070656013225 0.018991255003184104
7 -7.097917004035105 0.06854942454020363 0.02715543462549319 0.020507392560557447
9 -9.075931404113906 0.07054105928264187 0.028268834858156122 0.021354342292447814
11 -11.062031154770947 0.0717725289927218 0.028975791868896206 0.021892371129426103
13 -13.052441515860597 0.07260405588851526 0.029462954991873236 0.022263241714935322

