# U=0.2,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -3.8361795915610863 0.003787720257836691 0.000893222297664753 0.0006700664085237396
5 -6.186488552525699 0.004611090012091701 0.0011276614492226056 0.0008459846951152095
7 -8.583366281941592 0.00496102787176933 0.0012320784904409354 0.0009243437300825441
9 -10.994978492337754 0.005152858085992307 0.0012908375031965846 0.0009684408205190564
11 -13.413170333221204 0.0052734460355656765 0.0013284556285433347 0.0009966729136734465
13 -15.834875685778467 0.005356052908518816 0.001354587192504031 0.00101628475032145

