# U=-0.9,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -4.811252141922216 0.055618131235721346 0.02134445474015001 0.016094997030058567
5 -7.887065100919034 0.06980915461866877 0.028716021272601866 0.021694649929362875
7 -10.991907013179743 0.07525775351200781 0.03181474142565932 0.024054954804096917
9 -14.106137737157443 0.07807979322929937 0.033497328662958736 0.025338194016343518
11 -17.224590868843002 0.0797849817355476 0.03454631475293368 0.026138786752621712
13 -20.345306176373228 0.08091786074739371 0.03525956993853541 0.02668340027205085

