# U=-1.3,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -5.2152284650342455 0.10500212835717049 0.047945045108713336 0.03640404232187611
5 -8.594628554131454 0.13405002734812976 0.0669076589083204 0.05105936385375953
7 -11.99481452800757 0.14427020914012112 0.0743133487348755 0.056824545600149934
9 -15.401981744281654 0.14925247425491062 0.07811033471272966 0.05978969390286837
11 -18.81232171678235 0.15212925021602697 0.08037382255963132 0.0615603186896414
13 -22.224369280217587 0.1539716127030233 0.08185686916667434 0.06272166846243366

