# U=-0.1,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -4.084054246939255 0.0011365546615103028 0.0002319712013045816 0.00017398849203353883
5 -6.618662945655268 0.0014098435289686684 0.00029737734980206376 0.0002230495968811308
7 -9.195428997806937 0.0015258199799443872 0.00032632301477630854 0.000244762231685014
9 -11.785578691823472 0.0015894765054675908 0.0003425767847642369 0.00025695459838503965
11 -14.381711643114178 0.0016295605040679284 0.00035297350210683476 0.0002647534927584516
13 -16.981041358465916 0.0016570647337985633 0.0003601928060223969 0.00027016893639508766

