# U=-1.3,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -3.55215437218629 0.06807855305157173 0.02540153107402643 0.01917421559535193
4 -6.900411414844887 0.12447756824851641 0.05998212004501946 0.04568932693044769
6 -10.293412893123683 0.14030087983765172 0.0713062413552965 0.05448070361693369
8 -13.697852702179702 0.1471639230442272 0.0764820705328928 0.05851737243541244
10 -17.10687419664759 0.1508719233512834 0.07937174693004945 0.06077616085551396
12 -20.518185446957283 0.1531453835346559 0.08118644681156084 0.06219655080013098
14 -23.930804584898617 0.15465984740399508 0.08241809669285338 0.06316141121426622

