# U=0.2,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -2.7301943396169808 0.0028322472109633123 0.0006244146315891319 0.0004683841091928098
4 -5.000848279352936 0.004304086518026162 0.0010380536185503608 0.0007787423954543904
6 -7.3821363033720075 0.004815868960783343 0.0011883404149999333 0.0008915202998629468
8 -9.788036095574418 0.005069244258184558 0.001265073101076819 0.000949105155973573
10 -12.203501971576893 0.005219350477846607 0.0013115077288148314 0.0009839535886966289
12 -14.623694609647725 0.005318290954839711 0.0013426019060189809 0.0010072897160391392
14 -17.04657184781094 0.005388274837379914 0.0013648708806131005 0.0010240027671737373

