# U=1.8,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -2.7212565604488246 0.1368343492566817 0.06286756523256809 0.047924201996094595
5 -4.234378420761567 0.1553554024197441 0.07539146204048408 0.05766582487223504
7 -5.815947647768808 0.16251137201875898 0.08060250374652678 0.061739331657284735
9 -7.418951793801358 0.16620632828444393 0.0834064199259057 0.06393613996130743
11 -9.031482940675764 0.1684248544657172 0.08513773426439109 0.0652943354832245
13 -10.64908780901217 0.16988796967198505 0.08630357241774922 0.06620967655819854

