# U=-0.1,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -2.878869031963127 0.0008167926111687374 0.00015621338780602567 0.00011716461682276247
4 -5.341883486535293 0.0013081958653049508 0.0002724534915448107 0.00020435403948204645
6 -7.904512403820718 0.001477719009847167 0.00031420934953052537 0.00023567552743575249
8 -10.489470863403282 0.0015617197006609906 0.0003354523712162383 0.0002516103821870175
10 -13.083124420333686 0.0016115707647701427 0.000348290224191139 0.0002612404183155448
12 -15.681077648471614 0.0016444864634506118 0.0003568818792643036 0.0002676852960079579
14 -18.281473866834354 0.0016678056805772279 0.00036303344249022373 0.0002722997990898257

