# U=-0.5,max=1,ABC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
2 -3.089454172900137 0.014064502872632945 0.0038835000263984787 0.0029154601553971204
4 -5.82478759623943 0.023055536116546538 0.00734114761514304 0.005516015250403683
6 -8.644143830285682 0.025969866701452515 0.00854911173889783 0.006425616240963272
8 -11.482608747098059 0.027374228037719384 0.00915632690998791 0.006883061432436222
10 -14.32853957905166 0.028191890047011725 0.009520374720589864 0.0071573841520473636
12 -17.178167327883003 0.028723997360839082 0.009762527687490863 0.007339882908929951
14 -20.029897072942813 0.029096606166723937 0.009935042273765404 0.007469912328220918


