# U=-0.5,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -4.43507900055562 0.019953240870904443 0.006153295691450955 0.004622100336634016
5 -7.23059226610833 0.02480865791764164 0.008064329701737538 0.006060506963306844
7 -10.062035614237303 0.026776972888761907 0.0088960492041541 0.006686964140825369
9 -12.904956248453686 0.02783100064251265 0.009358659921334667 0.007035520160622699
11 -15.753018491560248 0.028483526353540345 0.00965253409159006 0.007256983377712967
13 -18.603830465369665 0.02892546132859719 0.009855477025401793 0.007409940199138987


