# U=1.4,max=1,PBC
# N E0/t S1(n=1) S2(n=1) S3(n=1)
3 -2.968174581697383 0.09410575213473571 0.03918091884665409 0.02968125573042313
5 -4.668317433828906 0.10769858093505125 0.047247084681820484 0.035867494455444904
7 -6.431758547361385 0.11314573354846957 0.05071040855051967 0.03853186180581747
9 -8.215029849567642 0.11602644810007678 0.05261556501096187 0.03999964080335072
11 -10.00711779728007 0.11778698276554334 0.05381223657484435 0.04092236025054419
13 -11.803902434358221 0.11896463049008332 0.054629503642539046 0.041552876031812236

