# M=28, N=14, max=1, PBC
# U/t E0/t S1(n=1) S2(n=1) S3(n=1)
-3.0 -39.76394460989198 0.6829676319157723 0.6731196282813636 0.6636881394902288
-2.9 -38.50002255252914 0.6823067705637444 0.6718503013850419 0.6618589621386879
-2.8 -37.240450162695325 0.6815471790750798 0.6703986351599611 0.6597723616867781
-2.7 -35.98624588388552 0.6806366244170299 0.6686689041104614 0.6572934614339201
-2.6 -34.738842637052386 0.679468442423802 0.6664654070291243 0.6541471348679844
-2.5 -33.50036701908942 0.6778062357944772 0.6633562631581875 0.6497293951939449
-2.4 -32.27422682477353 0.6750720143183435 0.6583008565876067 0.6425996939658738
-2.3 -31.06657602166567 0.6696455297632675 0.6484840112090007 0.6289388076607478
-2.2 -29.89109761318761 0.655766917021019 0.6246582033338357 0.5967363691667846
-2.1 -28.79510264658564 0.5938201068558513 0.5316768065439823 0.481916285816792
-2.0 -27.99999999999999 0.3607540882955127 0.26227498761910617 0.21236282604152779
-1.9 -27.35188603784449 0.31031930015128584 0.21380132901662696 0.17035636989283542
-1.8 -26.7367417872504 0.277190239140793 0.18313642201807756 0.14452027514218857
-1.7 -26.143939005418133 0.2488797794041524 0.15785678225003252 0.12361687978744396
-1.6 -25.569108104326702 0.22302661682068825 0.1356967580407371 0.10556979852424764
-1.5 -25.00970442113864 0.1988696234835432 0.11592663579570539 0.08967648447693222
-1.4 -24.464018171566522 0.1761188854682203 0.09822861702219177 0.07560771704236169
-1.3 -23.930804584898617 0.15465984740399508 0.08241809669285338 0.06316141121426622
-1.2 -23.409109319789412 0.13445196552126992 0.06835780145816539 0.052186401570003316
-1.1 -22.898173757164024 0.11548885785351803 0.055929187513001466 0.04255614994836998
-1.0 -22.39737857914477 0.09778150158783205 0.0450229710349106 0.03415907667802731
-0.9 -21.90620779747924 0.08135112011838697 0.035536310189043796 0.026894763368174868
-0.8 -21.424224606646238 0.06622656789040571 0.027372224251421606 0.020672263200930185
-0.7 -20.951054504350928 0.05244408603319428 0.02043964908492457 0.015409153057572844
-0.6 -20.486373100472534 0.04004862017654087 0.014653567265714429 0.011030834087774277
-0.5 -20.029897072942813 0.029096606166723937 0.009935042273765404 0.007469912328220918
-0.4 -19.581377306927177 0.01966075825258562 0.006211129865365095 0.004665610879383664
-0.3 -19.14059359203518 0.011838442450117004 0.003414687187605292 0.0025632066459664316
-0.2 -18.707350458858084 0.0057679805550137075 0.0014841109206935599 0.0011134965842738431
-0.1 -18.281473866834354 0.0016678056805772279 0.00036303344249022373 0.0002722997990898257
0.0 -17.86280854076104 3.377431667672681e-11 4.023004152031717e-12 3.0171420917213254e-12
0.1 -17.451215810503204 0.0016101173976768024 0.00034814382485137685 0.0002611305996862434
0.2 -17.04657184781094 0.005388274837379914 0.0013648708806131005 0.0010240027671737373
0.3 -16.648766221834943 0.010716559733938258 0.003011562292570158 0.0022603756733210467
0.4 -16.25770071481647 0.017266259827204422 0.00525329938885033 0.003945167195797072
0.5 -15.873288354008475 0.024814968221308575 0.008058614519544705 0.006056203159014117
0.6 -15.495452626786129 0.033199021341706825 0.01139926944104408 0.008574003078304582
0.7 -15.124126854224313 0.042292459858411124 0.015250062178288282 0.011481600485843568
0.8 -14.759253704875919 0.05199564238423937 0.01958866270490578 0.01476439611947411
0.9 -14.400784835580763 0.06222833325084398 0.024395477426031764 0.018410042518631098
1.0 -14.048680650173957 0.07292518328095499 0.029653542031973235 0.022408358708617904
1.1 -13.702910170125307 0.08403261898372572 0.035348441900482364 0.026751273746068893
1.2 -13.363451013474585 0.09550661908108893 0.04146825845292135 0.031432797650217115
1.3 -13.03028947984994 0.10731107710521037 0.04800353878639951 0.036449017707863796
1.4 -12.703420739642032 0.11941656271865897 0.05494728393842019 0.04179811687713597
1.5 -12.382849124160577 0.13179935577142876 0.06229494824329329 0.047480408956648734
1.6 -12.06858851020345 0.14444066071190154 0.07004443777413938 0.05349838180086719
1.7 -11.76066278608488 0.1573259263129061 0.07819608941534417 0.059856734747699036
1.8 -11.459106375692583 0.17044420228678492 0.08675260329289092 0.06656238915102186
1.9 -11.163964781277738 0.1837874645283093 0.0957188896861112 0.07362444097711052
2.0 -10.875295083089407 0.1973498368432458 0.10510177744284332 0.08105401179842131
2.1 -10.593166303614716 0.21112663257614273 0.11490951558578688 0.08886393988061903
2.2 -10.31765950604596 0.22511313962701562 0.1251509859881903 0.09706823826467392
2.3 -10.048867452649276 0.23930308313735704 0.13583453848456095 0.10568123611719527
2.4 -9.786893604482968 0.25368673150075116 0.1469663689557943 0.11471631994639964
2.5 -9.531850210051648 0.2682486719284136 0.15854839781472618 0.12418421291161419
2.6 -9.283855223890917 0.28296537904466623 0.17057568273387602 0.13409078483628534
2.7 -9.043027839060116 0.29780282999750973 0.18303352248925409 0.14443448185165142
2.8 -8.809482533157453 0.3127145610017439 0.19589457033199098 0.15520360124984656
2.9 -8.583321729777227 0.32764066721970453 0.2091164423165499 0.16637379245189576
3.0 -8.364627456980616 0.34250825560108566 0.22264041641826182 0.17790629094541943
