# M=20, N=10, max=1, PBC
# U/t E0/t E1/t S1(n=1) S2(n=1) S3(n=1)
0.030000000019365026 -12.53902790071565 -11.915153235103878 0.0001561968802552549 2.6082661034987353e-5 1.956212333587004e-5
0.031890708315053994 -12.533467237461021 -11.90922530247649 0.0001746536680689026 2.946421104255137e-5 2.209832106148113e-5
0.03390057587264559 -12.527558114084975 -11.902925870361843 0.00019526732466745855 3.328349706022138e-5 2.4962830510677492e-5
0.03603711253896794 -12.521278827702288 -11.896231797640949 0.00021828634759568644 3.7597050468907156e-5 2.8198052896666326e-5
0.038308301458505334 -12.51460634106444 -11.889118519950616 0.00024398733145813978 4.246867738011417e-5 3.1851846217456625e-5
0.04072262890232521 -12.507516202778767 -11.881559964523815 0.00027267806392572425 4.7970389911444755e-5 3.597822391432359e-5
0.04328911597693154 -12.499982463054797 -11.87352846024628 0.00030470095350443316 5.418345509733413e-5 4.0638141814319795e-5
0.046017352331524645 -12.491977584766756 -11.864994642701365 0.00034043681352269317 6.119957782990681e-5 4.5900385661656884e-5
0.04891753198961445 -12.48347234961681 -11.855927353971794 0.0003803090511138585 6.912223220068014e-5 5.184257004486881e-5
0.05200049143887087 -12.474435759180809 -11.846293536962063 0.00042478828579861627 7.806816281430429e-5 5.855226491480181e-5
0.0552777501215346 -12.46483493061535 -11.836058124001738 0.00047439745518840226 8.816907403730312e-5 6.612826319862819e-5
0.05876155347667935 -12.454634986803933 -11.825183919489936 0.0005297174436522667 9.957353320677598e-5 7.468200906979305e-5
0.062464918695153096 -12.443798940721079 -11.813631476339376 0.0005913932896302043 0.00011244911269159275 8.433920559669517e-5
0.06640168335816067 -12.432287573794758 -11.801358965980755 0.0006601410247255579 0.0001269848015081898 9.524162485075038e-5
0.07058655714122557 -12.420059308051739 -11.78832204169277 0.0007367552073005434 0.00014339371860438987 0.00010754914465138654
0.07503517677672189 -12.407070071839486 -11.774473695028176 0.0008221172079809769 0.00016191616650385043 0.00012144204106689926
0.07976416448034389 -12.393273158924353 -11.75976410511717 0.0009172043250593731 0.000182823065903559 0.00013712356724271402
0.08479119005982173 -12.378619080783883 -11.7441404806411 0.0010230998004487901 0.00020641981828006806 0.00015482285402335094
0.09013503693795381 -12.363055411924535 -11.727546894288855 0.0011410038170023284 0.00023305064952339194 0.00017479817233878592
0.09581567233664764 -12.346526628080795 -11.709924109526398 0.0012722455646745345 0.0002631034926250386 0.00019734060114240393
0.1018543218842135 -12.328973937178553 -11.691209399542325 0.0014182964731204173 0.0002970154751391618 0.0002227781505412807
0.10827354892467843 -12.310335102978913 -11.671336358261279 0.0015807847015052445 0.0003352790859221244 0.00025148039641598174
0.11509733882545951 -12.29054426136116 -11.650234703361624 0.0017615110061104389 0.0003784491018090641 0.00028386368758193115
0.12235118859841111 -12.26953172925105 -11.627830071281554 0.0019624660886190526 0.00042715036831530995 0.0003203969967509046
0.13006220216911438 -12.247223806261822 -11.604043804256875 0.0021858495559934354 0.00048208653599868256 0.00036160849240118864
0.1382591916503805 -12.223542569182953 -11.57879272950511 0.002434090618782303 0.0005440498691031692 0.0004080929201375483
0.1469727849983767 -12.198405659535464 -11.551988930750934 0.0027098706721147003 0.0006139322548057713 0.00046051989119400005
0.15623554045362897 -12.17172606450877 -11.52353951238763 0.003016147902476618 0.0006927375594116825 0.0005196431896314913
0.16608206819451055 -12.143411891706906 -11.493346356680224 0.003356184083989966 0.0007815954930290303 0.0005863112216464295
0.17654915965777207 -12.11336613826342 -11.461305874549069 0.003733573735708706 0.0008817771648130801 0.0006614787464194194
0.18767592500931857 -12.081486455037812 -11.427308750626155 0.004152275811498463 0.0009947125352978148 0.0007462200470276237
0.1995039392788908 -12.047664906782554 -11.391239683451964 0.004616648128374923 0.0011220099941757766 0.0008417437172862918
0.21207739770468226 -12.011787729376714 -11.352977121888841 0.005131484731708547 0.0012654783244521184 0.000949409266017831
0.22544328086833354 -11.973735085457019 -11.312392999058744 0.005702056423863233 0.0014271513454953144 0.0010707457655048103
0.239651530237332 -11.933380820052722 -11.269352465388566 0.0063341547001258824 0.0016093155653504887 0.001207472801195486
0.25475523477072504 -11.890592218145509 -11.223713622655909 0.007034139349029189 0.0018145412197734245 0.001361524017543303
0.2708108292854012 -11.845229766439289 -11.175327261288473 0.007808990009635419 0.0020457171232468596 0.0015350735938257642
0.28787830532412795 -11.797146922043456 -11.124036603577578 0.00866636200335158 0.002306089820665047 0.0017305660353450492
0.30602143531325693 -11.746189891258144 -11.069677055940616 0.009614646792284631 0.0025993075978383295 0.0019507497225523807
0.3253080108476546 -11.692197422205387 -11.012075973900599 0.010663037465756808 0.0029294699938073876 0.00219871473067057
0.3458100959932118 -11.63500061569447 -10.951052444067123 0.0118215997072042 0.003301183558146903 0.0024779355157167338
0.367604296553389 -11.57442275945473 -11.57442275945472 0.011652421549552372 0.003249697398885143 0.002439257448559662
0.3907720463059142 -11.510279191729197 -11.510279191729165 0.012868453629340415 0.0036463416069727472 0.0027372552444280274
0.4153999112791482 -11.442377201224298 -11.442377201224241 0.014202422069049092 0.004089521223868076 0.0030702852757173993
0.44157991320504725 -11.370515971575253 -11.370515971575228 0.015664299867646836 0.004584313139941454 0.003442187422293852
0.46940987335729617 -11.294486579847463 -11.294486579847458 0.01726465034689495 0.005136266768101194 0.003857163555551768
0.49899377805936473 -11.214072060187682 -11.21407206018768 0.01901461195091869 0.005751429129262853 0.004319798023464383
0.5304421672281987 -11.129047545619322 -11.129047545619306 0.020925868851774165 0.0064363659523269945 0.004835075468435424
0.5638725474053389 -11.039180503195913 -11.039180503195892 0.023010603638803584 0.007198176720600635 0.00540839447071173
0.599409830818751 -10.944231080372642 -10.94423108037262 0.025281427492415354 0.008044500948893862 0.006045575021820682
0.637186802115917 -10.843952583620602 -10.843952583620597 0.027751282105506814 0.008983512138895033 0.006752857197107165
0.6773446145121313 -10.73809211412327 -10.738092114123225 0.030433306183374143 0.010023894767722918 0.007536887560414485
0.7200333172078534 -10.626391390023219 -10.626391390023215 0.03334065748409509 0.011174798240564332 0.00840468873639244
0.7654124160458055 -10.508587790348127 -10.508587790348113 0.0364862789550906 0.012445759866161588 0.00936360613262499
0.8136514695027052 -10.384415662716473 -10.384415662716469 0.03988259435418051 0.013846586457262333 0.01042122387318889
0.864930722242547 -10.253607945582672 -10.253607945582646 0.043541114608713016 0.015387180909531839 0.011585239448613116
0.919441778598701 -10.115898166608037 -10.115898166608035 0.04747193069328315 0.017077295827137462 0.012863283192566133
0.9773883185012825 -9.971022892382996 -9.971022892382994 0.05168306160699476 0.01892619059711942 0.01426266417955846
1.0389868585248494 -9.818724721995974 -9.818724721995949 0.056179616541079724 0.020942160859157788 0.01579001816022929
1.1044675609000731 -9.658755938907898 -9.658755938907854 0.060962717915215237 0.023131899573639814 0.01745082529359321
1.1740750935122455 -9.490882963543756 -9.490882963543754 0.06602811595109781 0.025499636348106147 0.019248755263465256
1.2480695440999954 -9.314891784487475 -9.314891784487433 0.07136440525149368 0.02804598596445551 0.021184784542524593
1.3267273920701088 -9.130594590744108 -9.130594590744074 0.07695072949160364 0.030766418269728923 0.02325601513947939
1.4103425415596262 -8.937837882444313 -8.937837882444267 0.08275383327270536 0.03364924117422152 0.025454107225475475
1.4992274196052455 -8.73651240243858 -8.736512402438567 0.08872429528749048 0.03667297077974041 0.027763223029104722
