# M=20, N=10, max=1, PBC
# U/t E0/t E1/t S1(n=1) S2(n=1) S3(n=1)
0.030000000019365026 -12.53902790071565 -11.915153235103878 0.0001561968802552549 2.6082661034987353e-5 1.956212333587004e-5
0.03393246643223455 -12.527464370599464 -11.90282593473956 0.00019560257410189408 3.3345961897079945e-5 2.500967991858616e-5
0.038380409247716234 -12.514394539750205 -11.888892726301451 0.00024482387906532566 4.262817362477023e-5 3.197147094624597e-5
0.04341139825376311 -12.499623595583937 -11.873145880863836 0.000306265487925117 5.448885144687665e-5 4.086719529938776e-5
0.04910186043571079 -12.482931921453932 -11.855351210734643 0.0003829081311907956 6.964193519776174e-5 5.2232360815196444e-5
0.055538240997317426 -12.464072048073527 -11.835244814342863 0.00047844227693216723 8.899804688544677e-5 6.675002037459521e-5
0.0628183165710116 -12.442765261200087 -11.812529453056786 0.0005974314437011685 0.0001137182543176074 8.529111564214986e-5
0.07105268056664661 -12.418697835806286 -11.786870527667158 0.0007455112300713829 0.0001452823577996476 0.00010896572628871226
0.08036642322305738 -12.391516867193008 -11.75789162234392 0.0009296312553050967 0.00018557555753595523 0.00013918812612967457
0.09090103188449497 -12.360825670867609 -11.725169585097476 0.0011583484784032372 0.00023699835690660365 0.00017775930088559377
0.10281654036950214 -12.326178725942787 -11.68822911658969 0.0014421817737853004 0.00030260581037433454 0.00022697153067197107
0.1162939600838195 -12.287076141890847 -11.64653684412564 0.0017940392538497996 0.0003862837911343675 0.0002897408284017189
0.13153802980895307 -12.2429576364414 -11.599494865562086 0.00222973158472195 0.0004929719174118219 0.00036977451953523754
0.14878032593911444 -12.193196024204019 -11.54643375965498 0.0027685865163893375 0.000628945236929912 0.00047178312858076055
0.16828278041490385 -12.137090232464006 -11.486605076274744 0.003434182018185794 0.0008021698624154361 0.0006017481132105651
0.19034165979552847 -12.073857884141775 -11.419173343542834 0.00425521782138194 0.0010227516618783739 0.0007672600091606085
0.2152920659166148 -12.00262752020366 -11.343207661326394 0.005266547931020327 0.0013035020813716436 0.000977945422691917
0.24351302650421078 -11.922430577572442 -11.92243057757241 0.006510399893149277 0.0016606515788533116 0.0012460063379422515
0.2754332530777401 -11.832193297372143 -11.161421336448775 0.008037810643991339 0.0021147494939568467 0.0015869018353944497
0.31153765361162156 -11.730728816876441 -11.730728816876427 0.009910314068958925 0.0026918002682894127 0.0020202112291434204
0.3523746988909906 -11.616729803185178 -10.931558355902101 0.012201922893039452 0.003424700976742745 0.0025707298734127804
0.39856475446563605 -11.488762126156239 -11.488762126156223 0.015001458557131198 0.004355066052885714 0.0032698661333374623
0.45080950477490206 -11.34526025469936 -11.345260254699351 0.01841529954199128 0.005535554937308618 0.004157432930900207
0.5099026126077458 -11.184525311788235 -11.184525311788224 0.022570644577458943 0.007032862031485898 0.005283964181928891
0.5767417758284138 -11.004727065465445 -11.004727065465437 0.027619427284328868 0.00893159368744989 0.006713742385050292
0.6523423645244124 -10.803911605399014 -10.803911605398993 0.03374308015026495 0.011339356666720146 0.008528810125214115
0.73785284574202 -10.580017119701758 -10.580017119701736 0.04115843740546499 0.014393536755219927 0.010834374145932468
0.8345722301302775 -10.330901146382393 -10.330901146382388 0.05012519782881686 0.018270486324596824 0.013766226309593232
0.9439698055296923 -10.054384097857145 -10.054384097857131 0.06095554185711194 0.023198211159772164 0.017501148658529697
1.0677074572834362 -9.74831603541379 -9.748316035413776 0.07402668189511319 0.029474205400149778 0.02227180761162728
1.2076649143443414 -9.41067710101346 -9.410677101013455 0.08979717768935558 0.03749085710557454 0.028388447668378447
1.3659683046974926 -9.039727527730031 -9.03972752773003 0.10882728412342813 0.047771676700384624 0.03627074885513526
1.54502245389082 -8.634231996139443 -8.634231996139413 0.13180094623633343 0.061021576307828784 0.046494013130421674
1.7475474173285872 -8.193796516472776 -8.193796516472753 0.15953826201488264 0.0781901242572447 0.05985207123470504
1.9766198012987723 -7.719372328513632 -7.719372328513628 0.19296265364771337 0.10052753557245575 0.07742694643386328
2.2357195004521984 -7.213984379730046 -7.213984379729967 0.23293104622726846 0.1295538556199407 0.10061097655064666
2.528782561733883 -6.68366856443987 -6.6836685644398655 0.27975738959616026 0.1667349730019385 0.13091889241032284
2.8602609778355363 -6.138303187722992 -6.13830318772297 0.3323308848220137 0.21257686852432744 0.16931420558242882
3.235190318506172 -5.591425465653089 -5.59142546565308 0.38738152987251384 0.26536715159264546 0.21509425317189024
3.6592662271246366 -5.057976022975009 -5.057976022975001 0.4402984082738701 0.32110424563231854 0.26549592685296375
4.138930944612193 -4.550648939437241 -4.550648939437228 0.4874812285633445 0.37554135425495616 0.31708457445130733
4.6814711750911115 -4.077566586061108 -4.077566586061099 0.5275861757575928 0.42599062359243023 0.36731417629955443
5.295128779990415 -3.6425114475483764 -3.642511447548373 0.5608109789094606 0.47121903497772655 0.41464241263994905
5.989225982180077 -3.2463100917237684 -3.2463100917237466 0.5879230954706234 0.510777727372941 0.4580914841077668
6.7743069821402635 -2.888029790474418 -2.8880297904743903 0.6098142936879682 0.5446685992170597 0.4970572727548981
7.662298137491538 -2.5657379486156104 -2.5657379486155873 0.6273510423396775 0.5732000394577765 0.5312685358391671
8.666689139212476 -2.276968435238704 -2.2769684352387016 0.6413168804047911 0.5968730991620719 0.560742540694152
9.80273793683696 -2.0190168177352663 -2.019016817735251 0.652390041510519 0.6162825960450764 0.5857175164636654
11.087702525699957 -1.789128643767732 -1.789128643767713 0.661140672258723 0.6320431293575215 0.6065788669910077
12.541103117368575 -1.5846168138683996 -1.5846168138683736 0.6680386116184258 0.6447410056638572 0.6237922834250247
14.185018675953607 -1.402931264648697 -1.4029312646486771 0.6734657361277288 0.6549072616805569 0.6378501423191665
16.044422325057177 -1.2416968208471888 -1.2416968208471701 0.6777294067137403 0.6630057997378636 0.6492330083387134
18.147560720605643 -1.0987301401516274 -1.09873014015158 0.681075259483221 0.6694313728298225 0.6583851792835578
20.526383152713176 -0.9720432314472732 -0.9720432314472266 0.6836985747403403 0.674513382791075 0.665701674389958
23.217026895167546 -0.8598386242699345 -0.8598386242698789 0.6857539912575361 0.6785226561949012 0.6715235951047007
26.260366175600893 -0.7604996021285096 -0.7604996021284209 0.6873636008397548 0.6816793506421517 0.6761390102217844
29.702633105885756 -0.6725777662336743 -0.6725777662336193 0.6886235799843377 0.6841608790832776 0.6797870742106622
33.59612000546191 -0.594779411999493 -0.594779411999442 0.6896095588447362 0.6861092469890786 0.682663718642718
37.99997378675967 -0.5259516673403086 -0.5259516673402492 0.6903809307917452 0.6876375251708358 0.6849278180141836
42.981094470422846 -0.46506898147106585 -0.465068981470985 0.6909842898394869 0.6888353796798028 0.6867071678564649
48.61515147989638 -0.41122031149227917 -0.4112203114922645 0.691456159521393 0.6897736914378716 0.688103922135701
54.98773315415811 -0.36359719401846363 -0.3635971940183872 0.6918251515590539 0.6905083535502654 0.6891993394423483
62.195646941124046 -0.3214827845982877 -0.3214827845981968 0.6921136688446294 0.6910833556933023 0.6900578104266688
70.3483900232835 -0.2842418808471773 -0.28424188084714347 0.692339246135877 0.6915332671776966 0.6907302070830128
79.56981271619799 -0.25131190379921914 -0.25131190379914986 0.6925156038510418 0.6918852224678642 0.6912566272165184
89.99999990895753 -0.22219478760527248 -0.22219478760494724 0.6926534753337146 0.6921605007005796 0.6916686186796381
