# U/t=6.0,M=20, N=10, max=1, PBC
# theta S1(n=1) S2(n=1) S3(n=1)
0.0 0.019826836553300975 0.005845563960693578 0.004390605030486938
0.0031415926535897933 0.01987284910906073 0.005861227973362304 0.004402387625206394
0.006283185307179587 0.020010742444993124 0.005908219009598259 0.004437735214403382
0.00942477796076938 0.020240088410099943 0.005986534064843063 0.004496647213756422
0.012566370614359173 0.020560189050575772 0.00609616813045033 0.004579122648596279
0.015707963267948967 0.02097009836692454 0.006237114191880888 0.00468516015253595
0.01884955592153876 0.021468649763126013 0.006409363226845599 0.004814757966050021
0.021991148575128554 0.022054486904216297 0.0066129042023566065 0.004967913934229795
0.025132741228718346 0.022726095812864333 0.0068477240713948895 0.005144625504237332
0.02827433388230814 0.023481836390767175 0.007113807768897917 0.005344889722237234
0.031415926535897934 0.024319972019873237 0.007411138206868451 0.005568703229660965
0.034557519189487726 0.025238696372024805 0.007739696269431384 0.005816062259412558
0.03769911184307752 0.026236156970417035 0.008099460806600511 0.006086962631090653
0.04084070449666731 0.027310475364783926 0.008490408628179846 0.006381399746290928
0.04398229715025711 0.02845976401175898 0.008912514496028923 0.006699368582661069
0.0471238898038469 0.02968214009210568 0.00936575111689919 0.007040863688355881
0.05026548245743669 0.030975736580079793 0.009850089133510487 0.007405879175146346
0.053407075111026485 0.03233871090868634 0.010365497116026301 0.007794408711792045
0.05654866776461628 0.033769251579016224 0.010911941552052884 0.008206445516272254
0.059690260418206076 0.03526558304015692 0.011489386836480264 0.008641982347860289
0.06283185307179587 0.036825969138277515 0.01209779526072774 0.00910101149870135
0.06597344572538566 0.03844871539848782 0.012737127001198445 0.009583524784752662
0.06911503837897545 0.04013217036710959 0.013407340106949217 0.01008951353607701
0.07225663103256524 0.041874726207530966 0.01410839048720458 0.010618968586964872
0.07539822368615504 0.04367481871294476 0.014840231897860878 0.011171880265225642
0.07853981633974483 0.04553092686911109 0.015602815927661773 0.011748238381170673
0.08168140899333462 0.04744157207880795 0.016396091983139183 0.012348032215587335
0.08482300164692443 0.04940531713548246 0.017220007273819782 0.012971250507829879
0.08796459430051422 0.051420765019269954 0.018074506796321277 0.01361788144298659
0.09110618695410401 0.05348655757238552 0.01895953331784561 0.014287912638499378
0.0942477796076938 0.05560137409905419 0.019875027358810193 0.014981331130028419
0.0973893722612836 0.05776392992471058 0.020820927175457804 0.015698123357188454
0.10053096491487339 0.05997297494297005 0.02179716874123372 0.01643827514824192
0.10367255756846318 0.06222729216971601 0.022803685728317813 0.017201771704775215
0.10681415022205297 0.0645256963216374 0.02384040948742472 0.017988597584939203
0.10995574287564276 0.06686703242914716 0.024907269027877987 0.018798736686746587
0.11309733552923255 0.06925017449231152 0.026004190997098497 0.019632172230772404
0.11623892818282235 0.07167402418629676 0.027131099658612712 0.020488886741577783
0.11938052083641215 0.07413750961816579 0.02828791687043397 0.021368862029234936
0.12252211349000194 0.0766395841385985 0.029474562062236753 0.022272079169757042
0.12566370614359174 0.07917922520838205 0.030690952211930522 0.023198518484878417
0.12880529879718153 0.08175543331949697 0.03193700182225623 0.024148159521644175
0.13194689145077132 0.08436723097078591 0.033212622895677946 0.025120981030489542
0.1350884841043611 0.08701366169569225 0.034517724909918 0.026116960943571854
0.1382300767579509 0.08969378914166803 0.03585221479167622 0.027136076351491845
0.1413716694115407 0.09240669619808806 0.037215996890722636 0.0281783034800287
0.1445132620651305 0.09515148417145802 0.03860897295283028 0.029243617665732913
0.14765485471872028 0.09792727200563656 0.04003104209208752 0.030331993330761087
