# M=26, N=13, max=1, PBC
# U/t E0/t S1(n=1) S2(n=1) S3(n=1)
-3.0 -36.76396498149673 0.6832492085254871 0.6738396579120498 0.6647276927310468
-2.9 -35.60005639416163 0.6826449188641801 0.6727025428906077 0.6630866118333345
-2.8 -34.44050809129557 0.6817785357920485 0.671073683134535 0.6607419579039004
-2.7 -33.286348558481244 0.6805330893096548 0.6687409407450735 0.6573965385916409
-2.6 -32.13903229162161 0.6787210876374168 0.6653722265261552 0.6525909640590943
-2.5 -31.000735395856836 0.676016275697636 0.660407705972156 0.6455630391373686
-2.4 -29.874989374112612 0.671763553945603 0.6527658264378644 0.6348679031418492
-2.3 -28.768296309294254 0.6642639430989035 0.6397467838063626 0.6169773345289364
-2.2 -27.695524274274376 0.6467707232116897 0.6110319984772032 0.5788856422078128
-2.1 -26.710363399232847 0.5650531633084999 0.4930428781524703 0.4383576129018181
-2.0 -25.999999999999993 0.35845270201558943 0.26016744289012816 0.21050485012787545
-1.9 -25.399103728931358 0.3094487390310916 0.21301989369701824 0.16969117026337255
-1.8 -24.828365606484695 0.27641661902636416 0.18241459203931631 0.14391856800151404
-1.7 -24.278276831954333 0.24810912099442373 0.15713196931734386 0.12302258434317936
-1.6 -23.744828723185393 0.22225427653733254 0.13498265789228103 0.10499238217488704
-1.5 -23.225675978150843 0.19810940747998318 0.11524644872665135 0.08913305021182305
-1.4 -22.719239731507262 0.1753873514012274 0.09760159340645425 0.07511194973954316
-1.3 -22.224369280217587 0.1539716127030233 0.08185686916667434 0.06272166846243366
-1.2 -21.740181784347882 0.13381840615887208 0.06786881271604672 0.05180626266039301
-1.1 -21.265975117192262 0.11491799408613623 0.05551393574765617 0.04223552468726233
-1.0 -20.80117587146184 0.09727829134147514 0.04467931088674515 0.03389528112962781
-0.9 -20.345306176373228 0.08091786074739371 0.03525956993853541 0.02668340027205085
-0.8 -19.897961405617036 0.065863289222166 0.02715609073971148 0.02050789151377197
-0.7 -19.458794585158827 0.052148890511428014 0.02027683864622709 0.015285776492534264
-0.6 -19.027505126559753 0.039817954951412826 0.014536319873310166 0.01094224734362248
-0.5 -18.603830465369665 0.02892546132859719 0.009855477025401793 0.007409940199138987
-0.4 -18.187539716035193 0.01954278433055512 0.006161494799292733 0.004628268716679429
-0.3 -17.778428766435994 0.011765968901050083 0.00338753001863612 0.0025428040143928854
-0.2 -17.37631642557021 0.005731884087430306 0.0014723913570287017 0.001104700405239356
-0.1 -16.981041358465916 0.0016570647337985633 0.0003601928060223969 0.00027016893639508766
0.0 -16.59245962111755 3.4794389591752406e-12 3.7836400679225335e-13 2.8377300509419e-13
0.1 -16.210442661090315 0.0015999858184163607 0.0003454833058800233 0.00025913486432482813
0.2 -15.834875685778467 0.005356052908518816 0.001354587192504031 0.00101628475032145
0.3 -15.46565632586983 0.010655182011885422 0.002989222093286781 0.002243595312229729
0.4 -15.102693539930497 0.017171235567965404 0.005214982509353483 0.003916353932158945
0.5 -14.745906719472186 0.024683517767549734 0.008000893494207517 0.006012737176948502
0.6 -14.39522496390176 0.03302959766199809 0.011319186494712863 0.008513595822672304
0.7 -14.05058650237141 0.04208444245675569 0.015145104823785172 0.011402275089160696
0.8 -13.711938245419457 0.051749124829115534 0.019456738513619953 0.014664467958413141
0.9 -13.379235453854555 0.061943966916323756 0.02423488791154016 0.018288099680573655
1.0 -13.052441515860597 0.07260405588851526 0.029462954991873236 0.022263241714935322
1.1 -12.731527825941438 0.08367615411137663 0.035126860778795344 0.026582053286437812
1.2 -12.41647376110043 0.09511648593811373 0.04121498646228394 0.031238748433878083
1.3 -12.107266750479624 0.10688910149843966 0.04771813446437845 0.03622958567549439
1.4 -11.803902434358221 0.11896463049008332 0.054629503642539046 0.041552876031812236
1.5 -11.506384906579497 0.13131929989483737 0.061944669824807175 0.04720900296029873
1.6 -11.214727030645662 0.14393412335103006 0.06966155846248023 0.053200444348927345
1.7 -10.92895081323876 0.15679418760702912 0.07778039021533445 0.059531781891517976
1.8 -10.64908780901217 0.16988796967198505 0.08630357241774922 0.06620967655819854
1.9 -10.375179516317424 0.18320662079343064 0.09523549961513789 0.07324278032617437
2.0 -10.107277704370574 0.1967431529471413 0.10458221534526002 0.08064154413763269
2.1 -9.845444587951297 0.21049146397685892 0.11435087635375707 0.0884178709898884
2.2 -9.589752736735962 0.22444514262737725 0.12454895241573904 0.09658455323222803
2.3 -9.340284575172674 0.23859601034587152 0.13518309444751875 0.10515442807366826
2.4 -9.097131300380779 0.25293238879780056 0.14625761747688548 0.11413919063605515
2.5 -8.860391028304969 0.26743713677575043 0.15777258127357463 0.12354782677710219
2.6 -8.630165984352983 0.2820855795107753 0.16972151746532926 0.13338467596729853
2.7 -8.406558598578105 0.2968435519021555 0.1820889499691316 0.1436472122314627
2.8 -8.189666460641096 0.3116658760456259 0.19484797673336995 0.15432373502211627
2.9 -7.979576242317205 0.32649565950887993 0.20795829924142817 0.16539127439685153
3.0 -7.7763568954485605 0.3412647905580286 0.22136515874890916 0.17681410225976268
