# M=4, N=2, max=1, PBC
# U/t E0/t S1(n=1) S2(n=1) S3(n=1)
1.0 -2.3722813232690143 0.04482180636071764 0.015267472130789939 0.011494759112350428
1.5 -2.176174977679906 0.08491143650804045 0.033398280401847 0.025262622597323592
2.0 -2.0 0.12982549552077383 0.05715841383994902 0.043505688494815065
2.5 -1.8423292192132459 0.1763400103873678 0.08523043261863372 0.0653670940017298
3.0 -1.701562118716424 0.22219143151737586 0.11625980611586173 0.08994275099803661
3.5 -1.5760336739125176 0.2658937794271611 0.14898513652636358 0.11636159408551239
4.0 -1.4641016151377548 0.30657201479043017 0.18232155679395634 0.14384103622589184
4.5 -1.3642080737002402 0.34380388155527186 0.21539850217239576 0.17171710704348897
5.0 -1.274917217635375 0.37748112189068095 0.24756207866235502 0.19945385378100222
5.5 -1.194933459514875 0.40769770687444373 0.27835488957664145 0.22663841772021065
6.0 -1.1231056256176608 0.43466629787846534 0.30748469974795933 0.2529678192358987
6.5 -1.0584219849035217 0.4586597153263695 0.33479015043822724 0.2782320968865384
7.0 -1.0 0.479972313391536 0.3602085165200438 0.30229689160925055
7.5 -0.9470735570139841 0.49889604269819177 0.3837479673874816 0.325087262931926
8.0 -0.8989794855663561 0.515706736463554 0.40546510810816383 0.34657359027997214
8.5 -0.8551444641655342 0.5306571703410469 0.4254476076955026 0.36675981792516643
9.0 -0.8150729063673247 0.543974404476892 0.4438012568517097 0.3856739639337089
9.5 -0.7783360968739954 0.5558596952707636 0.4606406461294289 0.4033606473775796
10.0 -0.7445626465380285 0.5664898458655135 0.4760826753221187 0.41987532737591093
10.5 -0.7134302209382813 0.5760192749615346 0.49024220392575113 0.4352799457960087
11.0 -0.6846584384264909 0.5845823619703975 0.5032292768740555 0.4496396930238088
11.5 -0.6580028089881483 0.5922958093967802 0.5151474812621467 0.4630206554947657
12.0 -0.6332495807107997 0.5992608801277494 0.526093095896779 0.4754881449310223
12.5 -0.6102113670061217 0.6055654398316827 0.5361547824236591 0.4871055475846239
13.0 -0.5887234393789126 0.6112857782783027 0.5454136350533189 0.49793356518813214
13.5 -0.5686405841522235 0.6164882085238762 0.553943457985636 0.5080297472565315
14.0 -0.5498344352707497 0.6212304564811132 0.5618111784988581 0.5174482371410009
14.5 -0.5321912081366904 0.6255628599091728 0.5690773321754806 0.526239672419934
15.0 -0.5156097709406987 0.6295293981890836 0.5757965773427326 0.5344511945409064
15.5 -0.5000000000000001 0.633168574199772 0.5820182105053787 0.5421265337951103
16.0 -0.4852813742385703 0.6365141682948131 0.5877866649021178 0.5493061443340542
16.5 -0.47138177125620384 0.6395958824734439 0.5931419815115323 0.556027370555351
17.0 -0.45823643358445854 0.6424398907365091 0.5981202467566641 0.5623246312255522
17.5 -0.4457870788747605 0.6450693095407861 0.6027539944629338 0.5682296115247861
18.0 -0.43398113205660377 0.6475046003296271 0.6070725717887026 0.5737714560698451
18.5 -0.4227710610765517 0.6497639143765132 0.6111024702157356 0.5789769581192442
19.0 -0.4121138007995046 0.651863388646536 0.6148676235047889 0.5838707417571393
19.5 -0.4019702521234764 0.653817400054122 0.6183896749648926 0.5884754350255715
20.0 -0.3923048454132638 0.6556387843579975 0.6216882165777996 0.5928118328288693
